City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,castro,-24.79,-50.01,79.5,72,87,6.96,BR,1579186949
1,hilo,19.73,-155.09,69.8,83,90,1.86,US,1579187178
2,dingle,11.0,122.67,75.97,87,62,9.51,PH,1579187575
3,cape town,-33.93,18.42,89.01,65,20,27.51,ZA,1579187122
4,new norfolk,-42.78,147.06,53.6,66,90,9.17,AU,1579187191
5,qaanaaq,77.48,-69.36,-17.41,50,0,6.13,GL,1579187193
6,chapais,49.78,-74.85,-4.0,76,90,11.41,CA,1579187555
7,tuatapere,-46.13,167.68,55.99,90,76,1.01,NZ,1579187237
8,tual,-5.67,132.75,83.59,81,0,12.57,ID,1579187742
9,richmond hill,43.87,-79.44,36.0,89,20,18.34,CA,1579187742
10,khani,41.96,42.96,50.0,39,0,26.4,GE,1579187571
11,saint-philippe,-21.36,55.77,84.2,74,100,10.29,RE,1579187191
12,busselton,-33.65,115.33,72.0,43,2,14.43,AU,1579187197
13,ancud,-41.87,-73.82,55.4,62,75,13.87,CL,1579187205
14,ushuaia,-54.8,-68.3,51.8,75,75,17.22,AR,1579187042
15,partizanske,48.63,18.38,39.2,69,40,4.7,SK,1579187743
16,luanda,-8.84,13.23,86.0,66,20,11.41,AO,1579187427
17,pochutla,15.74,-96.47,77.0,64,5,6.67,MX,1579187284
18,albany,42.6,-73.97,42.01,73,90,16.11,US,1579187103
19,rikitea,-23.12,-134.97,77.72,78,100,18.52,PF,1579187197
20,yellowknife,62.46,-114.35,-38.0,65,20,2.71,CA,1579187152
21,jenjarom,2.88,101.5,80.6,88,20,2.24,MY,1579187745
22,chokurdakh,70.63,147.92,-15.52,97,100,8.08,RU,1579187210
23,lompoc,34.64,-120.46,46.99,100,90,6.55,US,1579187194
24,punta arenas,-53.15,-70.92,53.6,62,75,12.75,CL,1579186994
25,gilgit,35.92,74.31,4.98,48,0,3.69,PK,1579187746
26,albany,42.6,-73.97,42.01,73,90,16.11,US,1579187103
27,stonewall,50.13,-97.33,-23.01,67,5,2.24,CA,1579187746
28,bandarbeyla,9.49,50.81,74.3,71,0,32.59,SO,1579187747
29,punta arenas,-53.15,-70.92,53.6,62,75,12.75,CL,1579186994
30,georgetown,5.41,100.34,84.2,74,20,1.12,MY,1579187199
31,srednekolymsk,67.45,153.68,-17.0,97,100,8.43,RU,1579187747
32,cascais,38.7,-9.42,62.6,93,75,18.34,PT,1579187200
33,mataura,-46.19,168.86,55.99,90,4,1.01,NZ,1579187217
34,barrow,71.29,-156.79,6.8,77,90,8.05,US,1579187219
35,somerset east,-32.72,25.59,94.41,17,0,9.44,ZA,1579187748
36,yellowknife,62.46,-114.35,-38.0,65,20,2.71,CA,1579187152
37,ostrovnoy,68.05,39.51,17.02,85,100,5.39,RU,1579187197
38,severo-kurilsk,50.68,156.12,15.8,91,92,24.47,RU,1579187190
39,nanortalik,60.14,-45.24,26.92,75,100,8.72,GL,1579187220
40,qaanaaq,77.48,-69.36,-17.41,50,0,6.13,GL,1579187193
41,busselton,-33.65,115.33,72.0,43,2,14.43,AU,1579187197
42,pisco,-13.7,-76.22,73.99,30,0,8.05,PE,1579187227
43,coquimbo,-29.95,-71.34,64.4,72,75,11.41,CL,1579187749
44,bredasdorp,-34.53,20.04,82.4,58,15,12.75,ZA,1579187238
45,vaini,-21.2,-175.2,80.6,88,75,6.93,TO,1579187190
46,new norfolk,-42.78,147.06,53.6,66,90,9.17,AU,1579187191
